predictions,true_labels,amr_str
ad populum,ad populum,"# ::snt An opinion article in a MSK0 newspaper states that in an all - MSK0 survey 95 % of students think that MSK1 should be MSK2 and therefore MSK1 should be MSK2 immediately . 
(s / state-01
      :ARG0 (a / article
            :mod (o / opine-01)
            :part-of (n / newspaper
                  :name (n2 / name
                        :op1 ""MSK0"")))
      :ARG1 (t / think-01
            :ARG0 (p / person
                  :ARG1-of (ii / include-91
                        :ARG2 (p2 / person
                              :ARG0-of (s2 / study-01))
                        :ARG3 (p3 / percentage-entity
                              :value 95)))
            :ARG1 (r / recommend-01
                  :ARG1 (p4 / product
                        :name (n3 / name
                              :op1 ""MSK1""))
                  :ARG2 (p5 / product
                        :name (n4 / name
                              :op1 ""MSK2""))
                  :ARG0-of (c / cause-01
                        :ARG1 (r2 / recommend-01
                              :ARG1 (p6 / product
                                    :name (n5 / name
                                          :op1 ""MSK1""))
                              :ARG2 p5
                              :time (ii2 / immediate))))
            :medium (s3 / survey-01
                  :ARG2 (p7 / product
                        :name (n6 / name
                              :op1 ""MSK0"")
                        :mod (a2 / all)))))"
circular reasoning,circular reasoning,"# ::snt "" MSK0 am a MSK1 MSK2 because MSK0 make MSK1 MSK2 decisions . MSK3 MSK0 is that MSK0 am a MSK1 MSK2 , and MSK3 's what MSK2 do . "" What is this ? 
(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (d / decide-01
                  :ARG0 (t / thing
                        :mod (v / variable
                              :name (n / name
                                    :op1 ""MSK1"")))
                  :ARG3 (t2 / thing
                        :mod (v2 / variable
                              :name (n2 / name
                                    :op1 ""MSK2""))
                        :mod (v3 / value-interval
                              :op1 1
                              :op2 2)))
            :ARG1 (t3 / thing
                  :mod (v4 / variable
                        :name (n3 / name
                              :op1 ""MSK3""))
                  :domain t))
      :snt2 (a / and
            :op1 (t4 / thing
                  :mod (v5 / variable
                        :name (n4 / name
                              :op1 ""MSK1""))
                  :domain t3)
            :op2 (t5 / thing
                  :ARG1-of (d2 / do-02
                        :ARG0 (t6 / thing
                              :mod (v6 / variable
                                    :name (n5 / name
                                          :op1 ""MSK2""))))
                  :domain t6))
      :snt3 (a2 / amr-unknown
            :domain (t7 / this)))"
fallacy of extension,fallacy of extension,"# ::snt MSK0 wants to create more MSK2 lanes in Lowell . Why is MSK0 forcing MSK1 to give up MSK1 cars and MSK2 everywhere ? 
(m / multi-sentence
      :snt1 (w / want-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (c / create-01
                  :ARG0 p
                  :ARG1 (l / lane
                        :mod (p2 / product
                              :name (n2 / name
                                    :op1 ""MSK2""))
                        :mod (m2 / more))
                  :location (c2 / city
                        :name (n3 / name
                              :op1 ""Lowell""))))
      :snt2 (c3 / cause-01
            :ARG0 (a / amr-unknown)
            :ARG1 (f / force-01
                  :ARG0 (p3 / person
                        :name (n4 / name
                              :op1 ""MSK0""))
                  :ARG1 (p4 / person
                        :name (n5 / name
                              :op1 ""MSK1""))
                  :ARG2 (g / give-up-08
                        :ARG0 p4
                        :ARG1 (a2 / and
                              :op1 (c4 / car
                                    :mod p2)
                              :op2 (p5 / product
                                    :name (n6 / name
                                          :op1 ""MSK2"")))
                        :location (e / everywhere)))))"
appeal to emotion,appeal to emotion,"# ::snt You should give MSK0 a promotion . MSK0 have a lot of debt and am behind on MSK0 rent . 
(m / multi-sentence
      :snt1 (r / recommend-01
            :ARG1 (g / give-01
                  :ARG0 (y / you)
                  :ARG1 (p / promote-01
                        :ARG1 (p2 / person
                              :name (n / name
                                    :op1 ""MSK0"")))
                  :ARG2 p2)
            :ARG2 p2)
      :snt2 (a / and
            :op1 (h / have-03
                  :ARG0 p2
                  :ARG1 (d / debt
                        :quant (l / lot)))
            :op2 (b / behind
                  :domain p2
                  :topic (r2 / rent
                        :poss p2))))"
faulty generalization,faulty generalization,"# ::snt MSK0 care about are MSK0 looks . 
(c / care-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :ARG1 (l / look-02
            :ARG0 p))"
false dilemma,false dilemma,"# ::snt Either support gun confiscation or have the government provide everyone with his own private nuclear warhead , you decide which one . 
(d / decide-01
      :ARG0 (y / you)
      :ARG1 (o / or
            :op1 (s / support-01
                  :ARG0 y
                  :ARG1 (c / confiscate-01
                        :ARG1 (g / gun)))
            :op2 (h / have-04
                  :ARG0 y
                  :ARG1 (p / provide-01
                        :ARG0 (g2 / government-organization
                              :ARG0-of (g3 / govern-01))
                        :ARG1 (w / warhead
                              :mod (n / nucleus)
                              :ARG1-of (p2 / private-02)
                              :poss (e / everyone))
                        :ARG2 e))))"
false dilemma,false dilemma,"# ::snt Either MSK0 go to war , or MSK0 appear weak 
(o / or
      :op1 (g / go-02
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG4 (w / war))
      :op2 (a / appear-02
            :ARG1 (w2 / weak-02
                  :ARG1 p)))"
false dilemma,appeal to emotion,"# ::snt , MSK0 relief MSK1 of MSK0 cut , or death MSK0 MSK1 of estate MSK0 ) 
(o / or
      :op1 (r / relieve-01
            :ARG1 (c / cut-02
                  :ARG1 (p / product
                        :name (n / name
                              :op1 ""MSK0"")))
            :ARG2 (p2 / product
                  :name (n2 / name
                        :op1 ""MSK0"")))
      :op2 (d / die-01
            :ARG1-of (c2 / cause-01
                  :ARG0 (p3 / product
                        :name (n3 / name
                              :op1 ""MSK0"")
                        :mod (e / estate)))))"
faulty generalization,faulty generalization,"# ::snt If we teach MSK0 how to drive the car , MSK0 ’ll want to learn how to fly helicopters next ! 
(w / want-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :ARG1 (l / learn-01
            :ARG0 p
            :ARG1 (f / fly-01
                  :ARG0 p
                  :ARG2 (h / helicopter))
            :time (n2 / next))
      :condition (t / teach-01
            :ARG0 (w2 / we)
            :ARG1 (d / drive-01
                  :ARG0 p
                  :ARG1 (c / car))
            :ARG2 p))"
fallacy of logic,circular reasoning,"# ::snt Students should not be allowed to park in MSK0 now reserved for MSK1 because those MSK0 should be for MSK1 only . 
(c / cause-01
      :ARG0 (r / recommend-01
            :ARG1 (p / park-01
                  :polarity -
                  :ARG0 (p2 / person
                        :ARG0-of (s / study-01)
                        :ARG1-of p)
                  :ARG2 (l / location
                        :name (n / name
                              :op1 ""MSK0"")
                        :ARG1-of (r2 / reserve-01
                              :ARG2 (p3 / product
                                    :name (n2 / name
                                          :op1 ""MSK1""))
                              :time (n3 / now)))))
      :ARG1 (r3 / recommend-01
            :ARG1 (h / have-purpose-91
                  :ARG1 l
                  :ARG2 (p4 / product
                        :name (n4 / name
                              :op1 ""MSK1""))
                  :mod (o / only))))"
