source_article,updated_label,masked_articles
All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.,ad populum,All MSK<0> friends are doing MSK<1> . That must be the only way to lose weight so MSK<0> will do MSK<1> too . 
Canada is the best country to live in because it's better than the other countries!,circular reasoning,MSK<0> is the best MSK<1> to live in because MSK<0> 's better than the other MSK<1> ! 
A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.,ad hominem,A MSK<0> who tells MSK<1> that she does n't trust MSK<1> judgment because MSK<1> 's never been a MSK<0> . 
"""Florida is the most important state because it has sun and beaches.""",fallacy of extension,""" MSK<0> is the most important state because MSK<0> has sun and beaches . "" "
"Bertrand declares that a teapot is, at this very moment, in orbit around the Sun between the Earth and Mars, and that because no one can prove him wrong, his claim is therefore a valid one.",intentional,"MSK<0> declares that a teapot is , at MSK<0> MSK<0> MSK<0> . "
People who wear glasses are smarter.,faulty generalization,People who wear glasses are smarter . 
"""In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called ""Gay Rights"" and ""Gay Pride"" movement gained momentum and force can hardly be coincidental."" - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College",false causality,""" In MSK<0> origins [ AIDS ] was entirely a disease of sodomites ... That MSK<0> was diagnosed a little over a decade after the so - called "" MSK<1> Rights "" and "" MSK<1> Pride "" movement gained momentum and force can hardly be coincidental . "" - Harry Jaffa , Professor Emeritus of Political Philosophy at Claremont McKenna College "
Order is necessary to justice because justice can only be achieved by a program of social and legal order.,circular reasoning,MSK<0> is necessary to MSK<1> because MSK<1> can only be achieved by a program of social and legal MSK<0> . 
Everyone wants the iPhone 11 because it's the best phone on the market!,ad populum,Everyone wants MSK<0> because MSK<0> 's the best phone on the market ! 
A parent who says that the teacher doesn't know how to teach because she graduated from a community college.,ad hominem,A parent who says that MSK<0> does n't know how to teach because MSK<0> graduated from a community college . 
"Either God created the world or evolution happened.
Evolution happened.
Therefore, God did not create the world.",fallacy of logic,"Either MSK<0> MSK<2> or MSK<4> . MSK<4> . Therefore , MSK<0> did not MSK<2> . "
"After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenseless by cutting military spending.",fallacy of extension,"After MSK<0> said that MSK<1> should put more money into health and education , MSK<2> responded by saying that MSK<2> was surprised that MSK<0> hates MSK<1> so much that MSK<2> wants to leave coref3 defenseless by cutting military spending . "
Did your misleading claims result in you getting promoted?,intentional,Did MSK<0> misleading claims result in MSK<0> getting promoted ? 
"America is the best place to live, because it's better than any other country. (This is a good example of...)",circular reasoning,"MSK<0> is the best place to live , because MSK<0> 's better than any other country . ( MSK<0> is a good example of ... ) "
"Ivan: You cannot borrow my car because it turns back into a pumpkin at midnight.
Sidney: If you really think that, you’re an idiot.
Ivan: That is an ad hominem; therefore, I can’t be an idiot.
Sidney: I beg to differ.",fallacy of logic,"MSK<0> : MSK<1> can not borrow MSK<2> because coref2 turns back into a pumpkin at midnight . MSK<3> : If MSK<1> really think that , MSK<1> ’re an MSK<4> . MSK<0> : That is an ad hominem ; therefore , MSK<2> ca n’t be an MSK<4> . MSK<3> : MSK<2> beg to differ . "
Allowing people to possess guns is like giving a bomb to a bunch of kids.,fallacy of logic,Allowing people to possess guns is like giving a bomb to a bunch of kids . 
A person hanging out in a bar will be an alcoholic,faulty generalization,A person hanging out in a bar will be an alcoholic 
Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,false causality,MSK<0> is MSK<1> by MSK<2> while visiting MSK<0> friend . Two days later MSK<0> comes down with a fever . MSK<0> concludes that MSK<2> MSK<1> must be the cause of MSK<0> illness . 
The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,ad hominem,MSK<0> described the mayor as a MSK<1> monster MSK<1> who MSK<1> hated babies MSK<1> but MSK<0> never discussed his plans for MSK<0> . 
"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles.  Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one.  Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature.  So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization,"If MSK<0> MSK<1> that MSK<3> was figurative , then MSK<0> will do the same for most of the Old MSK<4> MSK<5> of similar literary styles . Once MSK<0> are there , the MSK<6> MSK<4> and the MSK<5> of MSK<7> does not make sense , which will lead MSK<0> to believe that the resurrection of MSK<7> was a MSK<8> spiritual MSK<8> one . Once MSK<0> MSK<1> that , MSK<0> wo n’t be a Christian anymore ; MSK<0> will be a dirty atheist , then MSK<0> will have no morals and start having sex with animals of a barnyard nature . So MSK<0> better take MSK<3> literally , before the phrase , MSK<8> that chicken looks delicious MSK<8> , takes on a whole MSK<6> meaning . "
Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.,ad hominem,Of course MSK<0> would want to go MSK<1> on field trip day - MSK<1> is the only thing MSK<0> ever does ! MSK<0> should n't be allowed to choose an activity . 
Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.,false dilemma,Force people to MSK<0> between two extreme MSK<0> intentionally ignoring the whole spectrum of other possibilities . 
"All lions are animals.
All cats are animals.
Therefore, all lions are cats.",fallacy of logic,"MSK<0> are MSK<1> . All MSK<2> are MSK<1> . Therefore , MSK<0> are MSK<2> . "
My neighbor’s child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.,faulty generalization,MSK<0> neighbor ’s MSK<1> was kidnapped while playing alone in her yard . MSK<0> city must be a dangerous place for MSK<1> . 
"All the popular guys at school are dyeing their hair purple, so you should, too!",ad populum,"MSK<0> are dyeing MSK<0> hair purple , so you should , too ! "
Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV,false causality,Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV 
“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”,faulty generalization,MSK<2> The two courses MSK<0> took at MSK<1> were not very interesting . MSK<0> do n't think MSK<1> is a good university . MSK<2> 
"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",fallacy of credibility,"MSK<0> , says that evolution is MSK<1> . Therefore , MSK<0> 's MSK<1> . "
"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",faulty generalization,"If I went to the mall a polled 3 people , those MSK<0> would not represent the MSK<0> of the city population . "
"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.",faulty generalization,"If MSK<0> forget to floss , MSK<0> will get MSK<1> , and if MSK<0> get MSK<1> , MSK<0> will lose all MSK<0> teeth by the time MSK<0> 're 30 . "
"""Some tall people recently vandalized the park, tall people are irresponsible.""",faulty generalization,""" Some MSK<1> recently vandalized the park , MSK<1> are irresponsible . "" "
"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era.",fallacy of logic,"the analogy ' MSK<0> Auschwitz , ' which compares the MSK<1> of MSK<0> to the MSK<1> of Jews , gays and other groups during the Nazi era . "
"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",faulty generalization,"MSK<0> has always MSK<2> not to MSK<4> after MSK<6> because MSK<0> knows a friend whose skin got patched after MSK<4> and MSK<6> together . Besides , many other people have MSK<2> the same thing so it must be true . "
